,Parameters,mean_test_score,mean_train_score
0,"{'C': 0.1, 'n_jobs': -1, 'penalty': 'l2'}",0.8572950819672132,0.8584733606557379
1,"{'C': 1.0, 'n_jobs': -1, 'penalty': 'l2'}",0.8569262295081966,0.858483606557377
2,"{'C': 1000.0, 'n_jobs': -1, 'penalty': 'l2'}",0.8568442622950819,0.8584221311475411
3,"{'C': 10000.0, 'n_jobs': -1, 'penalty': 'l2'}",0.8568442622950819,0.8584016393442623
4,"{'C': 10.0, 'n_jobs': -1, 'penalty': 'l2'}",0.8568032786885246,0.8584323770491803
5,"{'C': 100.0, 'n_jobs': -1, 'penalty': 'l2'}",0.8568032786885246,0.8584016393442623
6,"{'C': 100000.0, 'n_jobs': -1, 'penalty': 'l2'}",0.8568032786885246,0.8584221311475411
7,"{'C': 1000000.0, 'n_jobs': -1, 'penalty': 'l2'}",0.8568032786885246,0.8584221311475411
8,"{'C': 0.01, 'n_jobs': -1, 'penalty': 'l2'}",0.8562704918032786,0.8577254098360655
9,"{'C': 0.001, 'n_jobs': -1, 'penalty': 'l2'}",0.8539344262295081,0.8539651639344262
10,"{'C': 0.0001, 'n_jobs': -1, 'penalty': 'l2'}",0.8043442622950818,0.804969262295082
11,"{'C': 1e-06, 'n_jobs': -1, 'penalty': 'l2'}",0.7570491803278688,0.7570491803278687
12,"{'C': 1e-05, 'n_jobs': -1, 'penalty': 'l2'}",0.7570491803278688,0.7570491803278687
13,"{'C': 1e-06, 'n_jobs': -1, 'penalty': 'l1'}",,
14,"{'C': 1e-06, 'n_jobs': -1, 'penalty': 'elasticnet'}",,
15,"{'C': 1e-05, 'n_jobs': -1, 'penalty': 'l1'}",,
16,"{'C': 1e-05, 'n_jobs': -1, 'penalty': 'elasticnet'}",,
17,"{'C': 0.0001, 'n_jobs': -1, 'penalty': 'l1'}",,
18,"{'C': 0.0001, 'n_jobs': -1, 'penalty': 'elasticnet'}",,
19,"{'C': 0.001, 'n_jobs': -1, 'penalty': 'l1'}",,
20,"{'C': 0.001, 'n_jobs': -1, 'penalty': 'elasticnet'}",,
21,"{'C': 0.01, 'n_jobs': -1, 'penalty': 'l1'}",,
22,"{'C': 0.01, 'n_jobs': -1, 'penalty': 'elasticnet'}",,
23,"{'C': 0.1, 'n_jobs': -1, 'penalty': 'l1'}",,
24,"{'C': 0.1, 'n_jobs': -1, 'penalty': 'elasticnet'}",,
25,"{'C': 1.0, 'n_jobs': -1, 'penalty': 'l1'}",,
26,"{'C': 1.0, 'n_jobs': -1, 'penalty': 'elasticnet'}",,
27,"{'C': 10.0, 'n_jobs': -1, 'penalty': 'l1'}",,
28,"{'C': 10.0, 'n_jobs': -1, 'penalty': 'elasticnet'}",,
29,"{'C': 100.0, 'n_jobs': -1, 'penalty': 'l1'}",,
30,"{'C': 100.0, 'n_jobs': -1, 'penalty': 'elasticnet'}",,
31,"{'C': 1000.0, 'n_jobs': -1, 'penalty': 'l1'}",,
32,"{'C': 1000.0, 'n_jobs': -1, 'penalty': 'elasticnet'}",,
33,"{'C': 10000.0, 'n_jobs': -1, 'penalty': 'l1'}",,
34,"{'C': 10000.0, 'n_jobs': -1, 'penalty': 'elasticnet'}",,
35,"{'C': 100000.0, 'n_jobs': -1, 'penalty': 'l1'}",,
36,"{'C': 100000.0, 'n_jobs': -1, 'penalty': 'elasticnet'}",,
37,"{'C': 1000000.0, 'n_jobs': -1, 'penalty': 'l1'}",,
38,"{'C': 1000000.0, 'n_jobs': -1, 'penalty': 'elasticnet'}",,
